game,agent,init,lr,tau,test,train,train_entropy,full_rank,total_params, opt_sol,description,opt_sol
Lol,,eoc,0.0,0.0,0.0,0.0,0,0,0,0.0,,
Maze,REIN,Neural Net initialization type,0.0008576958985908942,0.9964941427304151,5.1875,"[-10.0, -10.0, -10.0, -10.0, -9.52, -10.0, -9.56, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -6.8, -6.4, -2.56, -1.12, -2.52, 1.84, -0.8, 1.8, 1.96, 2.6, 1.8, 3.64, 2.88, 4.2, 4.56, 4.12, 3.68, 3.08, 3.96, 5.04, 4.84, 4.6, 5.0, 4.12, 4.72, 5.6, 5.08, 4.16, 4.92, 4.4, 5.24, 4.68, 4.68, 3.8, 4.72, 5.72, 5.64, 4.92, 4.52, 3.4, 3.12, 4.48, 5.08, 5.2, 5.84, 5.36, 5.0, 4.2, 4.76, 4.92, 5.52, 5.52, 4.32, 4.76, 6.12, 4.44, 5.52, 3.88, 4.72, 5.4, 5.96, 4.96, 5.44, 5.72, 4.6, 5.32, 4.72, 5.24, 5.44, 4.24, 4.92, 4.96, 5.32, 3.56, 4.84, 5.32, 4.28, 4.52, 4.6, 4.68, 5.24, 4.6, 4.6, 5.16, 5.2, 5.36, 5.8, 4.44, 5.36, 5.04, 5.0, 5.12, 5.48, 4.32, 3.96, 5.04, 4.16, 4.64, 5.12, 5.76, 6.16, 6.0, 5.52, 4.2, 5.36, 5.4, 5.32, 5.24, 4.88, 5.2, 5.76, 4.16, 5.48, 5.52, 4.64, 5.12, 4.92, 5.6, 5.68, 4.48, 4.28, 4.64, 3.88, 3.96, 5.4, 4.68, 5.04, 4.48, 5.44, 3.84, 5.64, 5.08, 5.2, 5.52, 5.04, 5.24, 5.2, 5.44, 5.52, 5.68, 4.0, 6.08, 4.92, 5.56, 5.24, 5.48, 4.52, 6.44, 5.04, 5.6, 4.6, 5.76, 5.08, 5.04, 4.88, 4.76, 4.6, 5.92, 4.28, 6.04, 4.76, 4.4, 5.0, 5.64, 5.28, 4.64, 4.12, 4.72, 4.68, 5.48, 5.48, 5.84, 6.12, 6.52, 5.72, 5.08, 5.28, 5.0, 3.88, 5.6, 4.88, 4.56, 5.68, 6.0, 5.44, 5.32, 4.84, 5.48, 4.24, 3.76, 4.92, 5.4, 4.72, 4.16, 5.2, 5.36, 5.72, 6.16, 5.56, 4.92, 4.72, 6.04, 6.0, 4.72, 4.92, 6.6, 4.52, 5.32, 5.44, 5.68, 3.4, 4.48, 4.8, 5.8, 5.08, 4.96, 5.12, 5.44, 5.48, 4.84, 5.44, 5.76, 4.88, 5.28, 5.36, 5.84, 4.48, 4.72, 4.92, 4.56, 4.44, 4.52, 5.16, 5.36, 5.04, 5.04, 5.64, 5.36, 4.0, 6.0, 5.12, 4.44, 4.28, 4.88, 4.08, 5.32, 5.96, 4.68, 5.32, 5.8, 4.2, 5.52, 5.68, 5.44, 5.8, 5.32, 5.28, 5.32, 4.84, 4.72, 4.0, 3.52, 5.48, 4.32, 5.56, 5.32, 4.24, 5.52, 5.88, 5.2, 5.84, 4.32, 5.24, 5.92, 5.72, 4.8, 4.8, 5.16, 4.6, 4.6, 3.92, 5.76, 5.88, 5.48, 5.0, 4.6, 5.2, 4.92, 5.0, 5.6, 5.44, 5.0, 4.76, 5.24, 5.24, 5.16, 4.6, 4.04, 5.88, 5.48, 4.92, 4.64, 4.92, 3.92, 5.6, 4.8, 4.4, 4.52, 5.16, 3.96, 4.64, 4.48, 4.84, 5.16, 5.6, 4.84, 4.92, 5.44, 5.68, 5.12, 5.12, 5.12, 4.72, 6.12, 5.36, 4.72, 4.76, 4.6, 5.08, 5.0, 5.4, 5.2, 4.88, 4.84, 5.08, 4.84, 4.4, 5.16, 4.36, 4.6, 4.88, 5.52, 5.52, 5.6, 5.0, 5.2, 4.24, 4.16, 5.32, 5.76, 5.0, 4.16, 4.48, 4.24, 4.36, 4.48, 4.68, 4.76, 3.6, 5.16, 4.56, 5.36, 4.64, 4.72, 3.68, 4.8, 5.48, 5.6, 4.88, 4.32, 4.84, 4.56, 5.12, 4.4, 4.84, 4.44, 5.2, 5.88, 5.44, 5.56, 4.8, 6.32, 5.96, 5.52, 3.96, 5.28, 4.76, 4.88, 5.36, 4.44, 5.24, 3.96, 4.04, 5.4, 4.32, 5.44, 5.36, 4.28, 4.92, 5.2, 5.12, 5.56, 5.28, 5.72, 3.8, 5.16, 5.84, 4.56, 4.4, 5.76, 4.88, 6.04, 5.84, 4.4, 4.48, 6.04, 5.56, 4.72, 4.76, 4.32, 5.48, 4.2, 3.32, 5.12, 5.12, 4.44, 5.24, 5.12, 6.16, 5.08, 4.96, 5.64, 5.8, 4.64, 5.32, 5.4, 4.68, 5.84, 5.08, 5.84, 5.44, 4.96, 5.56, 4.6, 4.68, 5.12, 5.28, 5.36, 4.68, 5.08, 5.36, 5.44, 3.52, 4.88, 5.56, 4.12, 5.64, 4.88, 4.84, 5.28, 3.88, 5.48, 5.28, 5.56, 6.0, 5.08, 4.56, 4.64, 4.24, 5.12, 4.68, 5.6, 5.6, 5.08, 5.28, 4.88, 5.4, 5.32, 4.6, 5.0, 5.4, 4.72, 5.16, 5.2, 5.48, 4.12, 4.52, 4.32, 4.96, 5.32, 5.16, 5.52, 5.72, 5.24, 5.24, 5.2, 5.16, 5.32, 5.52, 6.0, 4.32, 4.72, 5.4, 4.64, 4.88, 6.0, 5.08, 4.96, 4.2, 5.88, 5.48, 5.24, 4.36, 4.64, 4.84, 5.28, 4.28, 4.52, 5.2, 5.36, 4.16, 5.72, 4.72, 4.08, 5.16, 4.8, 5.08, 3.68, 6.04, 4.92, 4.44, 5.12, 4.88, 5.64, 5.0, 3.68, 4.04, 4.48, 4.52, 5.6, 6.36, 4.96, 5.16, 5.32, 5.6, 5.12, 6.04, 5.28, 4.0, 4.52, 5.56, 5.72, 4.2, 3.12, 5.44, 5.24, 4.52, 5.08, 4.92, 4.36, 5.72, 5.2, 5.52, 5.56, 5.8, 4.36, 4.08, 5.24, 4.76, 4.72, 5.36, 5.32, 4.6, 5.8, 5.28, 5.24, 4.24, 5.0, 4.64, 5.48, 5.44, 3.72, 5.84, 5.08, 5.6, 5.48, 4.88]","[-10.0, -10.0, -10.0, -10.0, -9.52, -10.0, -9.56, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -6.8, -6.4, -2.56, -1.12, -2.52, 1.84, -0.8, 1.8, 1.96, 2.6, 1.8, 3.64, 2.88, 4.2, 4.56, 4.12, 3.68, 3.08, 3.96, 5.04, 4.84, 4.6, 5.0, 4.12, 4.72, 5.6, 5.08, 4.16, 4.92, 4.4, 5.24, 4.68, 4.68, 3.8, 4.72, 5.72, 5.64, 4.92, 4.52, 3.4, 3.12, 4.48, 5.08, 5.2, 5.84, 5.36, 5.0, 4.2, 4.76, 4.92, 5.52, 5.52, 4.32, 4.76, 6.12, 4.44, 5.52, 3.88, 4.72, 5.4, 5.96, 4.96, 5.44, 5.72, 4.6, 5.32, 4.72, 5.24, 5.44, 4.24, 4.92, 4.96, 5.32, 3.56, 4.84, 5.32, 4.28, 4.52, 4.6, 4.68, 5.24, 4.6, 4.6, 5.16, 5.2, 5.36, 5.8, 4.44, 5.36, 5.04, 5.0, 5.12, 5.48, 4.32, 3.96, 5.04, 4.16, 4.64, 5.12, 5.76, 6.16, 6.0, 5.52, 4.2, 5.36, 5.4, 5.32, 5.24, 4.88, 5.2, 5.76, 4.16, 5.48, 5.52, 4.64, 5.12, 4.92, 5.6, 5.68, 4.48, 4.28, 4.64, 3.88, 3.96, 5.4, 4.68, 5.04, 4.48, 5.44, 3.84, 5.64, 5.08, 5.2, 5.52, 5.04, 5.24, 5.2, 5.44, 5.52, 5.68, 4.0, 6.08, 4.92, 5.56, 5.24, 5.48, 4.52, 6.44, 5.04, 5.6, 4.6, 5.76, 5.08, 5.04, 4.88, 4.76, 4.6, 5.92, 4.28, 6.04, 4.76, 4.4, 5.0, 5.64, 5.28, 4.64, 4.12, 4.72, 4.68, 5.48, 5.48, 5.84, 6.12, 6.52, 5.72, 5.08, 5.28, 5.0, 3.88, 5.6, 4.88, 4.56, 5.68, 6.0, 5.44, 5.32, 4.84, 5.48, 4.24, 3.76, 4.92, 5.4, 4.72, 4.16, 5.2, 5.36, 5.72, 6.16, 5.56, 4.92, 4.72, 6.04, 6.0, 4.72, 4.92, 6.6, 4.52, 5.32, 5.44, 5.68, 3.4, 4.48, 4.8, 5.8, 5.08, 4.96, 5.12, 5.44, 5.48, 4.84, 5.44, 5.76, 4.88, 5.28, 5.36, 5.84, 4.48, 4.72, 4.92, 4.56, 4.44, 4.52, 5.16, 5.36, 5.04, 5.04, 5.64, 5.36, 4.0, 6.0, 5.12, 4.44, 4.28, 4.88, 4.08, 5.32, 5.96, 4.68, 5.32, 5.8, 4.2, 5.52, 5.68, 5.44, 5.8, 5.32, 5.28, 5.32, 4.84, 4.72, 4.0, 3.52, 5.48, 4.32, 5.56, 5.32, 4.24, 5.52, 5.88, 5.2, 5.84, 4.32, 5.24, 5.92, 5.72, 4.8, 4.8, 5.16, 4.6, 4.6, 3.92, 5.76, 5.88, 5.48, 5.0, 4.6, 5.2, 4.92, 5.0, 5.6, 5.44, 5.0, 4.76, 5.24, 5.24, 5.16, 4.6, 4.04, 5.88, 5.48, 4.92, 4.64, 4.92, 3.92, 5.6, 4.8, 4.4, 4.52, 5.16, 3.96, 4.64, 4.48, 4.84, 5.16, 5.6, 4.84, 4.92, 5.44, 5.68, 5.12, 5.12, 5.12, 4.72, 6.12, 5.36, 4.72, 4.76, 4.6, 5.08, 5.0, 5.4, 5.2, 4.88, 4.84, 5.08, 4.84, 4.4, 5.16, 4.36, 4.6, 4.88, 5.52, 5.52, 5.6, 5.0, 5.2, 4.24, 4.16, 5.32, 5.76, 5.0, 4.16, 4.48, 4.24, 4.36, 4.48, 4.68, 4.76, 3.6, 5.16, 4.56, 5.36, 4.64, 4.72, 3.68, 4.8, 5.48, 5.6, 4.88, 4.32, 4.84, 4.56, 5.12, 4.4, 4.84, 4.44, 5.2, 5.88, 5.44, 5.56, 4.8, 6.32, 5.96, 5.52, 3.96, 5.28, 4.76, 4.88, 5.36, 4.44, 5.24, 3.96, 4.04, 5.4, 4.32, 5.44, 5.36, 4.28, 4.92, 5.2, 5.12, 5.56, 5.28, 5.72, 3.8, 5.16, 5.84, 4.56, 4.4, 5.76, 4.88, 6.04, 5.84, 4.4, 4.48, 6.04, 5.56, 4.72, 4.76, 4.32, 5.48, 4.2, 3.32, 5.12, 5.12, 4.44, 5.24, 5.12, 6.16, 5.08, 4.96, 5.64, 5.8, 4.64, 5.32, 5.4, 4.68, 5.84, 5.08, 5.84, 5.44, 4.96, 5.56, 4.6, 4.68, 5.12, 5.28, 5.36, 4.68, 5.08, 5.36, 5.44, 3.52, 4.88, 5.56, 4.12, 5.64, 4.88, 4.84, 5.28, 3.88, 5.48, 5.28, 5.56, 6.0, 5.08, 4.56, 4.64, 4.24, 5.12, 4.68, 5.6, 5.6, 5.08, 5.28, 4.88, 5.4, 5.32, 4.6, 5.0, 5.4, 4.72, 5.16, 5.2, 5.48, 4.12, 4.52, 4.32, 4.96, 5.32, 5.16, 5.52, 5.72, 5.24, 5.24, 5.2, 5.16, 5.32, 5.52, 6.0, 4.32, 4.72, 5.4, 4.64, 4.88, 6.0, 5.08, 4.96, 4.2, 5.88, 5.48, 5.24, 4.36, 4.64, 4.84, 5.28, 4.28, 4.52, 5.2, 5.36, 4.16, 5.72, 4.72, 4.08, 5.16, 4.8, 5.08, 3.68, 6.04, 4.92, 4.44, 5.12, 4.88, 5.64, 5.0, 3.68, 4.04, 4.48, 4.52, 5.6, 6.36, 4.96, 5.16, 5.32, 5.6, 5.12, 6.04, 5.28, 4.0, 4.52, 5.56, 5.72, 4.2, 3.12, 5.44, 5.24, 4.52, 5.08, 4.92, 4.36, 5.72, 5.2, 5.52, 5.56, 5.8, 4.36, 4.08, 5.24, 4.76, 4.72, 5.36, 5.32, 4.6, 5.8, 5.28, 5.24, 4.24, 5.0, 4.64, 5.48, 5.44, 3.72, 5.84, 5.08, 5.6, 5.48, 4.88]",,1324,,Your description,
